"Date"	"Heure"	"DEL1"	"DEL2"	"DEL3"	"DEL4"	"DEL5"	"DEL6"	"DEL7"	"DEL8"
"1"	"10/10/19"	"09:44:03"	31761.3021757741	23005.3670640436	16614.7573575831	8492.65560691805	25770.3807587933	161666.260681782	142525.371717322	14293.6265935747
"2"	"10/10/19"	"10:14:00"	12147802.3281863	10432961.8973613	10335852.1895809	2374136.78222109	1866877.65763085	9753320.19695196	8631100.55263003	3096279.44227809
"3"	"10/10/19"	"10:29:44"	12148917.53546	10428396.1792749	10345987.310369	2375319.10212348	1870136.31220423	9762370.8923149	5280176.20770678	3100701.89125872
"4"	"10/10/19"	"10:42:50"	12170849.8870945	10436823.7754952	10341904.7724055	2371633.05424676	1869808.63153077	9759296.13135852	5276684.40580074	3099924.28439629
"5"	"10/10/19"	"14:44:49"	12118839.5018534	10396348.9157235	10316571.724312	2381259.89029958	8117.79949224385	61953.6447466751	29966.0802222454	8196.17101106925
"6"	"10/10/19"	"14:47:23"	10559088.8396684	10748245.3160112	8562701.16594475	3023085.2186042	11756.8548177328	52441.6657615808	18998.2476771907	7045.99706805537
"7"	"10/10/19"	"15:12:01"	12150956.8238997	10405716.3428267	10342051.5196192	2383553.91743556	8047.28547621564	62040.3818363018	30369.8617654835	8174.72680417592
"8"	"10/10/19"	"15:24:53"	5229.33916453881	0	0	0	0	0	0	0
"9"	"10/10/19"	"15:28:06"	12146245.9072105	10403932.752399	10323005.4518271	2380494.19364104	9214.59695212831	61003.3057380252	28085.0912312146	8079.05128114701
"10"	"10/10/19"	"15:35:09"	12157385.5367286	11634.4962435425	10009.4799803438	7529.98279421782	9217.20108593568	60981.9565265911	28049.245416692	8083.26637743499
