ECHID	CODE	Exp	Etat
UH1B1T1H	1	Urea	Homogenate
UH1B1T1D	1	Urea	Dilution
UH1B1T2H	2	Urea	Homogenate
UH1B1T2D	2	Urea	Dilution
UH1B1T3H	3	Urea	Homogenate
UH1B1T3D	3	Urea	Dilution
UH1B1T4H	4	Urea	Homogenate
UH1B1T4D	4	Urea	Dilution
UH1B1T5H	5	Urea	Homogenate
UH1B1T5D	5	Urea	Dilution
UH1B1T6H	6	Urea	Homogenate
UH1B1T6D	6	Urea	Dilution
UH1B1T7H	7	Urea	Homogenate
UH1B1T7D	7	Urea	Dilution
UH1B1T8H	8	Urea	Homogenate
UH1B1T8D	8	Urea	Dilution
UH1B1T9H	9	Urea	Homogenate
UH1B1T9D	9	Urea	Dilution
UH1B2T1H	10	Urea	Homogenate
UH1B2T1D	10	Urea	Dilution
UH1B2T2H	11	Urea	Homogenate
UH1B2T2D	11	Urea	Dilution
UH1B2T3H	12	Urea	Homogenate
UH1B2T3D	12	Urea	Dilution
UH1B2T4H	13	Urea	Homogenate
UH1B2T4D	13	Urea	Dilution
UH1B2T5H	14	Urea	Homogenate
UH1B2T5D	14	Urea	Dilution
UH1B2T6H	15	Urea	Homogenate
UH1B2T6D	15	Urea	Dilution
UH1B2T7H	16	Urea	Homogenate
UH1B2T7D	16	Urea	Dilution
UH1B2T8H	17	Urea	Homogenate
UH1B2T8D	17	Urea	Dilution
UH1B2T9H	18	Urea	Homogenate
UH1B2T9D	18	Urea	Dilution
UH1B3T1H	19	Urea	Homogenate
UH1B3T1D	19	Urea	Dilution
UH1B3T2H	20	Urea	Homogenate
UH1B3T2D	20	Urea	Dilution
UH1B3T3H	21	Urea	Homogenate
UH1B3T3D	21	Urea	Dilution
UH1B3T4H	22	Urea	Homogenate
UH1B3T4D	22	Urea	Dilution
UH1B3T5H	23	Urea	Homogenate
UH1B3T5D	23	Urea	Dilution
UH1B3T6H	24	Urea	Homogenate
UH1B3T6D	24	Urea	Dilution
UH1B3T7H	25	Urea	Homogenate
UH1B3T7D	25	Urea	Dilution
UH1B3T8H	26	Urea	Homogenate
UH1B3T8D	26	Urea	Dilution
UH1B3T9H	27	Urea	Homogenate
UH1B3T9D	27	Urea	Dilution
UH1B4T1H	28	Urea	Homogenate
UH1B4T1D	28	Urea	Dilution
UH1B4T2H	29	Urea	Homogenate
UH1B4T2D	29	Urea	Dilution
UH1B4T3H	30	Urea	Homogenate
UH1B4T3D	30	Urea	Dilution
UH1B4T4H	31	Urea	Homogenate
UH1B4T4D	31	Urea	Dilution
UH1B4T5H	32	Urea	Homogenate
UH1B4T5D	32	Urea	Dilution
UH1B4T6H	33	Urea	Homogenate
UH1B4T6D	33	Urea	Dilution
UH1B4T7H	34	Urea	Homogenate
UH1B4T7D	34	Urea	Dilution
UH1B4T8H	35	Urea	Homogenate
UH1B4T8D	35	Urea	Dilution
UH1B4T9H	36	Urea	Homogenate
UH1B4T9D	36	Urea	Dilution
UH2B1T1H	37	Urea	Homogenate
UH2B1T1D	37	Urea	Dilution
UH2B1T2H	38	Urea	Homogenate
UH2B1T2D	38	Urea	Dilution
UH2B1T3H	39	Urea	Homogenate
UH2B1T3D	39	Urea	Dilution
UH2B1T4H	40	Urea	Homogenate
UH2B1T4D	40	Urea	Dilution
UH2B1T5H	41	Urea	Homogenate
UH2B1T5D	41	Urea	Dilution
UH2B1T6H	42	Urea	Homogenate
UH2B1T6D	42	Urea	Dilution
UH2B1T7H	43	Urea	Homogenate
UH2B1T7D	43	Urea	Dilution
UH2B1T8H	44	Urea	Homogenate
UH2B1T8D	44	Urea	Dilution
UH2B1T9H	45	Urea	Homogenate
UH2B1T9D	45	Urea	Dilution
UH2B2T1H	46	Urea	Homogenate
UH2B2T1D	46	Urea	Dilution
UH2B2T2H	47	Urea	Homogenate
UH2B2T2D	47	Urea	Dilution
UH2B2T3H	48	Urea	Homogenate
UH2B2T3D	48	Urea	Dilution
UH2B2T4H	49	Urea	Homogenate
UH2B2T4D	49	Urea	Dilution
UH2B2T5H	50	Urea	Homogenate
UH2B2T5D	50	Urea	Dilution
UH2B2T6H	51	Urea	Homogenate
UH2B2T6D	51	Urea	Dilution
UH2B2T7H	52	Urea	Homogenate
UH2B2T7D	52	Urea	Dilution
UH2B2T8H	53	Urea	Homogenate
UH2B2T8D	53	Urea	Dilution
UH2B2T9H	54	Urea	Homogenate
UH2B2T9D	54	Urea	Dilution
UH2B3T1H	55	Urea	Homogenate
UH2B3T1D	55	Urea	Dilution
UH2B3T2H	56	Urea	Homogenate
UH2B3T2D	56	Urea	Dilution
UH2B3T3H	57	Urea	Homogenate
UH2B3T3D	57	Urea	Dilution
UH2B3T4H	58	Urea	Homogenate
UH2B3T4D	58	Urea	Dilution
UH2B3T5H	59	Urea	Homogenate
UH2B3T5D	59	Urea	Dilution
UH2B3T6H	60	Urea	Homogenate
UH2B3T6D	60	Urea	Dilution
UH2B3T7H	61	Urea	Homogenate
UH2B3T7D	61	Urea	Dilution
UH2B3T8H	62	Urea	Homogenate
UH2B3T8D	62	Urea	Dilution
UH2B3T9H	63	Urea	Homogenate
UH2B3T9D	63	Urea	Dilution
UH2B4T1H	64	Urea	Homogenate
UH2B4T1D	64	Urea	Dilution
UH2B4T2H	65	Urea	Homogenate
UH2B4T2D	65	Urea	Dilution
UH2B4T3H	66	Urea	Homogenate
UH2B4T3D	66	Urea	Dilution
UH2B4T4H	67	Urea	Homogenate
UH2B4T4D	67	Urea	Dilution
UH2B4T5H	68	Urea	Homogenate
UH2B4T5D	68	Urea	Dilution
UH2B4T6H	69	Urea	Homogenate
UH2B4T6D	69	Urea	Dilution
UH2B4T7H	70	Urea	Homogenate
UH2B4T7D	70	Urea	Dilution
UH2B4T8H	71	Urea	Homogenate
UH2B4T8D	71	Urea	Dilution
UH2B4T9H	72	Urea	Homogenate
UH2B4T9D	72	Urea	Dilution
NH1B1T10H	73	nitrogen	Homogenate
NH1B1T10D	73	nitrogen	Dilution
NH1B1T2H	74	nitrogen	Homogenate
NH1B1T2D	74	nitrogen	Dilution
NH1B1T3H	75	nitrogen	Homogenate
NH1B1T3D	75	nitrogen	Dilution
NH1B1T4H	76	nitrogen	Homogenate
NH1B1T4D	76	nitrogen	Dilution
NH1B1T5H	77	nitrogen	Homogenate
NH1B1T5D	77	nitrogen	Dilution
NH1B1T6H	78	nitrogen	Homogenate
NH1B1T6D	78	nitrogen	Dilution
NH1B1T7H	79	nitrogen	Homogenate
NH1B1T7D	79	nitrogen	Dilution
NH1B1T8H	80	nitrogen	Homogenate
NH1B1T8D	80	nitrogen	Dilution
NH1B1T9H	81	nitrogen	Homogenate
NH1B1T9D	81	nitrogen	Dilution
NH1B2T10H	82	nitrogen	Homogenate
NH1B2T10D	82	nitrogen	Dilution
NH1B2T2H	83	nitrogen	Homogenate
NH1B2T2D	83	nitrogen	Dilution
NH1B2T3H	84	nitrogen	Homogenate
NH1B2T3D	84	nitrogen	Dilution
NH1B2T4H	85	nitrogen	Homogenate
NH1B2T4D	85	nitrogen	Dilution
NH1B2T5H	86	nitrogen	Homogenate
NH1B2T5D	86	nitrogen	Dilution
NH1B2T6H	87	nitrogen	Homogenate
NH1B2T6D	87	nitrogen	Dilution
NH1B2T7H	88	nitrogen	Homogenate
NH1B2T7D	88	nitrogen	Dilution
NH1B2T8H	89	nitrogen	Homogenate
NH1B2T8D	89	nitrogen	Dilution
NH1B2T9H	90	nitrogen	Homogenate
NH1B2T9D	90	nitrogen	Dilution
NH1B3T10H	91	nitrogen	Homogenate
NH1B3T10D	91	nitrogen	Dilution
NH1B3T2H	92	nitrogen	Homogenate
NH1B3T2D	92	nitrogen	Dilution
NH1B3T3H	93	nitrogen	Homogenate
NH1B3T3D	93	nitrogen	Dilution
NH1B3T4H	94	nitrogen	Homogenate
NH1B3T4D	94	nitrogen	Dilution
NH1B3T5H	95	nitrogen	Homogenate
NH1B3T5D	95	nitrogen	Dilution
NH1B3T6H	96	nitrogen	Homogenate
NH1B3T6D	96	nitrogen	Dilution
NH1B3T7H	97	nitrogen	Homogenate
NH1B3T7D	97	nitrogen	Dilution
NH1B3T8H	98	nitrogen	Homogenate
NH1B3T8D	98	nitrogen	Dilution
NH1B3T9H	99	nitrogen	Homogenate
NH1B3T9D	99	nitrogen	Dilution
NH1B4T10H	100	nitrogen	Homogenate
NH1B4T10D	100	nitrogen	Dilution
NH1B4T2H	101	nitrogen	Homogenate
NH1B4T2D	101	nitrogen	Dilution
NH1B4T3H	102	nitrogen	Homogenate
NH1B4T3D	102	nitrogen	Dilution
NH1B4T4H	103	nitrogen	Homogenate
NH1B4T4D	103	nitrogen	Dilution
NH1B4T5H	104	nitrogen	Homogenate
NH1B4T5D	104	nitrogen	Dilution
NH1B4T6H	105	nitrogen	Homogenate
NH1B4T6D	105	nitrogen	Dilution
NH1B4T7H	106	nitrogen	Homogenate
NH1B4T7D	106	nitrogen	Dilution
NH1B4T8H	107	nitrogen	Homogenate
NH1B4T8D	107	nitrogen	Dilution
NH1B4T9H	108	nitrogen	Homogenate
NH1B4T9D	108	nitrogen	Dilution
MSU36July202010H	109	External	Homogenate
MSU36July202010D	109	External	Dilution
MSU36Aug162010H	110	External	Homogenate
MSU36Aug162010D	110	External	Dilution
BlueCropP13H	111	External	Homogenate
BlueCropP13D	111	External	Dilution
BlueCropP49H	112	External	Homogenate
BlueCropP49D	112	External	Dilution
A287P31H	113	External	Homogenate
A287P31D	113	External	Dilution
A287P38H	114	External	Homogenate
A287P38D	114	External	Dilution
Elliott57H	115	External	Homogenate
Elliott57D	115	External	Dilution
Elliott57aH	116	External	Homogenate
Elliott57aD	116	External	Dilution
LastCall19H	117	External	Homogenate
LastCall19D	117	External	Dilution
LastCall12H	118	External	Homogenate
LastCall12D	118	External	Dilution
BlueCropP64H	119	External	Homogenate
BlueCropP64D	119	External	Dilution
