ID	Marque	Huile	Huile2	Huile_no	Type	TRT	Trt	Temp_temps	agitation	Induction	logit_ind
E1	Nos_Compl	Canola_et_Tournesol	Melange	2	Raffinee	Piece	25	0	n	1.7975	-0.203196268215133
E2	Nos_Compl	Canola_et_Tournesol	Melange	2	Raffinee	Chaleur	130	80	a	0.52	-1.90095876119305
E3	Becel	Canola_et_Tournesol	Melange	22	Raffinee	Piece	25	0	n	1.9175	-0.0825468407995865
E4	Becel	Canola_et_Tournesol	Melange	22	Raffinee	Chaleur	130	85	a	0.13	-3.39347533556825
E5	Menu_Bleu	Canola_et_Tournesol	Melange	24	Raffinee	Piece	25	0	n	2.01	0.0100000833345832
E6	Menu_Bleu	Canola_et_Tournesol	Melange	24	Raffinee	Chaleur	130	90	a	0.51	-1.9232462894781
E7	Selection	Huiles_vegetales	Melange	25	Raffinee	Piece	25	0	n	2.5375	0.551032044244031
E8	Selection	Huiles_vegetales	Melange	25	Raffinee	Chaleur	130	115	a	0.11	-3.56568407082008
E9	Great_Value	Canola_et_ou_soya	Melange	4	Raffinee	Piece	25	0	n	2.03	0.0300022503037987
E10	Great_Value	Canola_et_ou_soya	Melange	4	Raffinee	Chaleur	130	90	a	0.08	-3.89182029811063
E11	Mazola	Canola	Canola	13	Raffinee	Piece	25	0	n	2.3875	0.392461023684958
E12	Mazola	Canola	Canola	13	Raffinee	Piece	25	0	n	2.38	0.384674338439091
E13	Mazola	Canola	Canola	13	Raffinee	Chaleur	130	110	a	0.09	-3.77148298264915
E14	Portugalia	Canola	Canola	16	Raffinee	Piece	25	0	n	2.305	0.307397935616198
E15	Portugalia	Canola	Canola	16	Raffinee	Chaleur	130	105	a	0.64	-1.65822807660353
E16	Mazola	Mais	Mais	12	Raffinee	Piece	25	0	n	2.8225	0.874229470133244
E17	Mazola	Mais	Mais	12	Raffinee	Piece	25	0	n	2.82	0.871222446472449
E18	Mazola	Mais	Mais	12	Raffinee	Chaleur	130	125	a	0.14	-3.31678003984957
E19	Selection	Mais	Mais	18	Raffinee	Piece	25	0	n	2.455	0.463102850896775
E20	Selection	Mais	Mais	18	Raffinee	Chaleur	130	110	o	0.47	-2.01632045522324
E21	Mazola	Canola	Canola	40	Raffinee	Piece	25	0	n	2.1825	0.183009078306083
E22	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	10	o	1.8175	-0.183009078306083
E23	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	20	o	0.685	-1.57679406435774
E24	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	30	o	0.075	-3.9576335166802
E25	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	15	o	1.3125	-0.716677677970139
E26	Mazola	Canola	Canola	40	Raffinee	UV	UV	1200	n	1.655	-0.348484393069216
E27	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	25	o	0.08	-3.89182029811063
E28	Mazola	Canola	Canola	40	Raffinee	Chaleur	60	2880	o	1.41	-0.608068171321369
E29	Mazola	Canola	Canola	40	Raffinee	Chaleur	160	10	n	2.1875	0.18805223150294
E30	Nos_Compl	Canola	Canola	39	Raffinee	Piece	25	0	n	2.5425	0.556425209698068
E31	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	10	n	2.0625	0.0625203569813339
E32	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	20	o	0.7825	-1.41386601705597
E33	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	30	o	0.08	-3.89182029811063
E34	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	15	o	1.4925	-0.518833674569333
E35	Nos_Compl	Canola	Canola	39	Raffinee	UV	UV	1200	n	1.655	-0.348484393069216
E36	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	25	o	0.3875	-2.23243948362729
E37	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	60	2880	o	2.0625	0.0625203569813339
E38	Nos_Compl	Canola	Canola	39	Raffinee	Chaleur	160	10	n	2.1775	0.177968244843845
E39	No_Name	Canola	Canola	26	Raffinee	Piece	25	0	n	1.2	-0.847297860387204
E40	No_Name	Canola	Canola	38	Raffinee	Piece	25	0	n	2.4125	0.418503102446294
E41	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	10	o	1.9975	-0.00250000130208445
E42	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	20	o	0.435	-2.10357330175971
E43	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	30	o	0.066666667	-4.07753743882097
E44	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	15	o	1.47	-0.542956901948784
E45	No_Name	Canola	Canola	38	Raffinee	UV	UV	1200	n	1.645	-0.358800343251046
E46	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	25	o	0.17	-3.11482164512443
E47	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	10	n	2.2025	0.203196268215133
E48	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	20	n	2.1225	0.122653534547213
E49	No_Name	Canola	Canola	38	Raffinee	Chaleur	160	30	n	2.0975	0.0975773486055204
E50	Splendido	Olive	Olive	11	Pr_froid	Piece	25	0	n	3.7	2.51230562397612
E51	Splendido	Olive	Olive	11	Pr_froid	Chaleur	130	165	a	1.08	-0.994622575144062
E52	Bertolli	Olive	Olive	30	Pr_froid	Temps	25	0	n	1.1	-0.969400557188103
E53	Gallo	Olive	Olive	31	Pr_froid	Temps	25	0	n	1.55	-0.45783309362548
E54	Maison_Orphee	Canola	Canola	0	Pr_froid	Piece	25	0	n	1.7425	-0.258937142656462
E55	Maison_Orphee	Canola	Canola	0	Pr_froid	Chaleur	130	45	o	1.05	-1.0330150061823
E56	Maison_Orphee	Canola	Canola	0	Pr_froid	Chaleur	130	90	o	0.095	-3.71613617067325
E57	Maison_Orphee	Canola	Canola	35	Pr_froid	Piece	25	0	n	2.1875	0.18805223150294
E58	Maison_Orphee	Canola	Canola	35	Pr_froid	Chaleur	130	60	o	1.2375	-0.803042851383163
E59	Maison_Orphee	Canola	Canola	35	Pr_froid	Chaleur	130	120	o	0.095	-3.71613617067325
E60	Pres_Choice	Canola	Canola	33	Raffinee	Piece	25	0	n	1.57	-0.43681563799224
E61	Pres_Choice	Canola	Canola	32	Raffinee	Piece	25	0	n	1.676666667	-0.326195240318505
E62	Pres_Choice	Canola	Canola	36	Raffinee	Piece	25	0	n	2.2275	0.228488900938682
E63	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	10	o	1.9025	-0.0975773486055204
E64	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	20	o	0.6675	-1.60793866177846
E65	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	30	o	0.0525	-4.32002457653222
E66	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	15	o	1.285	-0.748033235038716
E67	Pres_Choice	Canola	Canola	36	Raffinee	UV	UV	1200	n	1.645	-0.358800343251046
E68	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	25	o	0.1175	-3.49779622143863
E69	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	10	n	2.175	0.175448677506192
E70	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	20	n	2.075	0.0750351859429143
E71	Pres_Choice	Canola	Canola	36	Raffinee	Chaleur	160	30	n	2.01	0.0100000833345832
E72	Selection	Canola	Canola	37	Raffinee	Piece	25	0	n	2.2925	0.294612612685675
E73	Selection	Canola	Canola	37	Raffinee	Chaleur	160	10	o	1.9875	-0.0125001627642315
E74	Selection	Canola	Canola	37	Raffinee	Chaleur	160	20	o	1.01	-1.08532305654943
E75	Selection	Canola	Canola	37	Raffinee	Chaleur	160	30	o	0.0825	-3.86041068088954
E76	Selection	Canola	Canola	37	Raffinee	Chaleur	160	15	o	1.4475	-0.56723534059167
E77	Selection	Canola	Canola	37	Raffinee	UV	UV	1200	n	1.835	-0.16537587994792
E78	Selection	Canola	Canola	37	Raffinee	Chaleur	160	25	o	0.26	-2.66615925939305
E79	Selection	Canola	Canola	37	Raffinee	Chaleur	160	10	n	2.295	0.297167732777028
E80	Selection	Canola	Canola	37	Raffinee	Chaleur	160	20	n	2.1225	0.122653534547213
E81	Selection	Canola	Canola	37	Raffinee	Chaleur	160	30	n	2.0575	0.0575158503094224
E82	Mazola	Soya	Soya	14	Raffinee	Piece	25	0	n	1.9825	-0.0175004466351008
E83	Mazola	Soya	Soya	14	Raffinee	Chaleur	130	60	o	0.8625	-1.29134643453452
E84	Mazola	Soya	Soya	14	Raffinee	Piece	25	0	n	1.9825	-0.0175004466351008
E85	Mazola	Soya	Soya	14	Raffinee	Chaleur	130	105	o	0.075	-3.9576335166802
E86	Crisco	Soya	Soya	19	Raffinee	Piece	25	0	n	2.265	0.266567345536175
E87	Crisco	Soya	Soya	19	Raffinee	Chaleur	130	100	a	0.12	-3.47609868983527
E88	Nos_Compl	Tournesol	Tournesol	15	Raffinee	Piece	25	0	n	1.515	-0.49485722058726
E89	Nos_Compl	Tournesol	Tournesol	15	Raffinee	Piece	25	0	n	1.515	-0.49485722058726
E90	Nos_Compl	Tournesol	Tournesol	15	Raffinee	Chaleur	130	45	o	0.1825	-3.04060086407024
E91	Nos_Compl	Tournesol	Tournesol	15	Raffinee	Chaleur	130	80	o	0.0625	-4.14313472639153
E92	Selection	Tournesol	Tournesol	17	Raffinee	Piece	25	0	n	1.895	-0.105096628599955
E93	Selection	Tournesol	Tournesol	17	Raffinee	Chaleur	130	85	a	0.26	-2.66615925939305
